Ithd,,,IHD 2nd Order,,,IHD 3rd Order,,,IHD 4th Order,,,IHD 5th Order,,,IHD 6th Order,,,IHD 7th Order,,,IHD 8th Order,,,IHD 9th Order,,,IHD 10th Order,,,IHD 11th Order,,,IHD 12th Order,,,IHD 13th Order,,,IHD 14th Order,,,IHD 15th Order,,,IHD 16th Order,,,IHD 17th Order,,,IHD 18th Order,,,IHD 19th Order,,,IHD 20th Order,,,IHD 21st Order,,,IHD 22nd Order,,,IHD 23rd Order,,,IHD 24th Order,,,IHD 25th Order,,,IHD 26th Order,,,IHD 27th Order,,,IHD 28th Order,,,IHD 29th Order,,,IHD 30th Order,,,IHD 31st Order,,,IHD 32nd Order,,,IHD 33rd Order,,,IHD 34th Order,,,IHD 35th Order,,,IHD 36th Order,,,IHD 37th Order,,,IHD 38th Order,,,IHD 39th Order,,,IHD 40th Order,,
2,29,,0.4,16,,1.6,0,,0.4,4,,1.6,0,,0.4,3,,1.6,0,,0.4,0,,1.6,0,,0.4,0,,0.8,1,,0.2,0,,0.8,0,,0.2,0,,0.8,0,,0.2,0,,0.6,0,,0.15,0,,0.6,0,,0.15,0,,0.6,0,,0.15,0,,0.24,7,,0.06,0,,0.24,2,,0.06,0,,0.24,0,,0.06,0,,0.24,0,,0.06,1,,0.24,1,,0.06,5,,0.24,2,,0.06,1,,0.12,4,,0.03,2,,0.12,4,,0.03,3,,0.12,4,,0.03,4,
2.2,24,,0.44,17,,1.76,0,,0.44,4,,1.76,0,,0.44,3,,1.76,0,,0.44,0,,1.76,0,,0.44,0,,0.88,1,,0.22,0,,0.88,0,,0.22,0,,0.88,0,,0.22,0,,0.66,0,,0.165,0,,0.66,0,,0.165,0,,0.66,0,,0.165,0,,0.264,4,,0.066,0,,0.264,0,,0.066,0,,0.264,0,,0.066,0,,0.264,0,,0.066,2,,0.264,0,,0.066,5,,0.264,0,,0.066,6,,0.132,10,,0.033,0,,0.132,2,,0.033,0,,0.132,3,,0.033,0,
2.4,11,,0.48,11,,1.92,0,,0.48,7,,1.92,0,,0.48,0,,1.92,0,,0.48,0,,1.92,0,,0.48,0,,0.96,0,,0.24,0,,0.96,0,,0.24,0,,0.96,0,,0.24,0,,0.72,0,,0.18,0,,0.72,0,,0.18,0,,0.72,0,,0.18,0,,0.288,0,,0.072,0,,0.288,0,,0.072,0,,0.288,0,,0.072,2,,0.288,0,,0.072,0,,0.288,0,,0.072,6,,0.288,1,,0.072,5,,0.144,9,,0.036,4,,0.144,7,,0.036,3,,0.144,13,,0.036,4,
2.6,4,,0.52,6,,2.08,0,,0.52,2,,2.08,0,,0.52,4,,2.08,0,,0.52,0,,2.08,0,,0.52,0,,1.04,0,,0.26,0,,1.04,0,,0.26,0,,1.04,0,,0.26,0,,0.78,0,,0.195,0,,0.78,0,,0.195,0,,0.78,0,,0.195,0,,0.312,0,,0.078,0,,0.312,0,,0.078,0,,0.312,0,,0.078,0,,0.312,0,,0.078,0,,0.312,0,,0.078,0,,0.312,0,,0.078,2,,0.156,5,,0.039,3,,0.156,2,,0.039,6,,0.156,6,,0.039,2,
2.8,5,,0.56,6,,2.24,0,,0.56,3,,2.24,0,,0.56,0,,2.24,0,,0.56,0,,2.24,0,,0.56,0,,1.12,0,,0.28,0,,1.12,0,,0.28,0,,1.12,0,,0.28,0,,0.84,0,,0.21,0,,0.84,0,,0.21,0,,0.84,0,,0.21,0,,0.336,0,,0.084,0,,0.336,0,,0.084,0,,0.336,0,,0.084,0,,0.336,0,,0.084,0,,0.336,0,,0.084,1,,0.336,2,,0.084,6,,0.168,9,,0.042,0,,0.168,5,,0.042,0,,0.168,3,,0.042,0,
3,3,,0.6,3,,2.4,0,,0.6,2,,2.4,0,,0.6,0,,2.4,0,,0.6,0,,2.4,0,,0.6,0,,1.2,0,,0.3,0,,1.2,0,,0.3,0,,1.2,0,,0.3,0,,0.9,0,,0.225,0,,0.9,0,,0.225,0,,0.9,0,,0.225,0,,0.36,0,,0.09,0,,0.36,0,,0.09,0,,0.36,0,,0.09,0,,0.36,0,,0.09,0,,0.36,0,,0.09,0,,0.36,0,,0.09,0,,0.18,3,,0.045,2,,0.18,5,,0.045,0,,0.18,3,,0.045,1,
3.2,0,,0.64,5,,2.56,0,,0.64,0,,2.56,0,,0.64,0,,2.56,0,,0.64,0,,2.56,0,,0.64,0,,1.28,0,,0.32,0,,1.28,0,,0.32,0,,1.28,0,,0.32,0,,0.96,0,,0.24,0,,0.96,0,,0.24,0,,0.96,0,,0.24,0,,0.384,0,,0.096,0,,0.384,0,,0.096,0,,0.384,0,,0.096,0,,0.384,0,,0.096,1,,0.384,0,,0.096,1,,0.384,0,,0.096,4,,0.192,7,,0.048,2,,0.192,9,,0.048,3,,0.192,8,,0.048,2,
3.4,3,,0.68,4,,2.72,0,,0.68,1,,2.72,0,,0.68,0,,2.72,0,,0.68,0,,2.72,0,,0.68,0,,1.36,0,,0.34,0,,1.36,0,,0.34,0,,1.36,0,,0.34,0,,1.02,0,,0.255,0,,1.02,0,,0.255,0,,1.02,0,,0.255,0,,0.408,0,,0.102,0,,0.408,0,,0.102,0,,0.408,0,,0.102,0,,0.408,0,,0.102,0,,0.408,0,,0.102,1,,0.408,0,,0.102,2,,0.204,1,,0.051,0,,0.204,2,,0.051,0,,0.204,2,,0.051,0,
3.6,2,,0.72,2,,2.88,0,,0.72,3,,2.88,0,,0.72,0,,2.88,0,,0.72,0,,2.88,0,,0.72,0,,1.44,0,,0.36,0,,1.44,0,,0.36,0,,1.44,0,,0.36,0,,1.08,0,,0.27,0,,1.08,0,,0.27,0,,1.08,0,,0.27,0,,0.432,0,,0.108,0,,0.432,0,,0.108,0,,0.432,0,,0.108,0,,0.432,0,,0.108,0,,0.432,0,,0.108,1,,0.432,0,,0.108,3,,0.216,8,,0.054,1,,0.216,2,,0.054,1,,0.216,4,,0.054,2,
3.8,0,,0.76,3,,3.04,0,,0.76,0,,3.04,0,,0.76,0,,3.04,0,,0.76,0,,3.04,0,,0.76,0,,1.52,0,,0.38,0,,1.52,0,,0.38,0,,1.52,0,,0.38,0,,1.14,0,,0.285,0,,1.14,0,,0.285,0,,1.14,0,,0.285,0,,0.456,0,,0.114,0,,0.456,0,,0.114,0,,0.456,0,,0.114,0,,0.456,0,,0.114,0,,0.456,0,,0.114,0,,0.456,0,,0.114,1,,0.228,5,,0.057,0,,0.228,3,,0.057,0,,0.228,2,,0.057,0,
4,1,,0.8,3,,3.2,0,,0.8,0,,3.2,0,,0.8,0,,3.2,0,,0.8,0,,3.2,0,,0.8,0,,1.6,0,,0.4,0,,1.6,0,,0.4,0,,1.6,0,,0.4,0,,1.2,0,,0.3,0,,1.2,0,,0.3,0,,1.2,0,,0.3,0,,0.48,0,,0.12,0,,0.48,0,,0.12,0,,0.48,0,,0.12,0,,0.48,0,,0.12,0,,0.48,0,,0.12,0,,0.48,0,,0.12,3,,0.24,6,,0.06,1,,0.24,10,,0.06,1,,0.24,5,,0.06,0,
4.2,0,,0.84,1,,3.36,0,,0.84,0,,3.36,0,,0.84,0,,3.36,0,,0.84,0,,3.36,0,,0.84,0,,1.68,0,,0.42,0,,1.68,0,,0.42,0,,1.68,0,,0.42,0,,1.26,0,,0.315,0,,1.26,0,,0.315,0,,1.26,0,,0.315,0,,0.504,0,,0.126,0,,0.504,0,,0.126,0,,0.504,0,,0.126,0,,0.504,0,,0.126,0,,0.504,0,,0.126,0,,0.504,0,,0.126,2,,0.252,2,,0.063,0,,0.252,3,,0.063,1,,0.252,6,,0.063,2,
4.4,0,,0.88,3,,3.52,0,,0.88,0,,3.52,0,,0.88,0,,3.52,0,,0.88,0,,3.52,0,,0.88,0,,1.76,0,,0.44,0,,1.76,0,,0.44,0,,1.76,0,,0.44,0,,1.32,0,,0.33,0,,1.32,0,,0.33,0,,1.32,0,,0.33,0,,0.528,0,,0.132,0,,0.528,0,,0.132,0,,0.528,0,,0.132,0,,0.528,0,,0.132,1,,0.528,0,,0.132,0,,0.528,0,,0.132,0,,0.264,3,,0.066,0,,0.264,2,,0.066,0,,0.264,2,,0.066,0,
4.6,1,,0.92,0,,3.68,0,,0.92,0,,3.68,0,,0.92,0,,3.68,0,,0.92,0,,3.68,0,,0.92,0,,1.84,0,,0.46,0,,1.84,0,,0.46,0,,1.84,0,,0.46,0,,1.38,0,,0.345,0,,1.38,0,,0.345,0,,1.38,0,,0.345,0,,0.552,0,,0.138,0,,0.552,0,,0.138,0,,0.552,0,,0.138,0,,0.552,0,,0.138,0,,0.552,0,,0.138,1,,0.552,0,,0.138,0,,0.276,2,,0.069,2,,0.276,3,,0.069,0,,0.276,2,,0.069,2,
4.8,0,,0.96,1,,3.84,0,,0.96,0,,3.84,0,,0.96,0,,3.84,0,,0.96,0,,3.84,0,,0.96,0,,1.92,0,,0.48,0,,1.92,0,,0.48,0,,1.92,0,,0.48,0,,1.44,0,,0.36,0,,1.44,0,,0.36,0,,1.44,0,,0.36,0,,0.576,0,,0.144,0,,0.576,0,,0.144,0,,0.576,0,,0.144,0,,0.576,0,,0.144,0,,0.576,0,,0.144,0,,0.576,0,,0.144,1,,0.288,2,,0.072,0,,0.288,4,,0.072,0,,0.288,4,,0.072,1,
5,0,,1,1,,4,0,,1,0,,4,0,,1,0,,4,0,,1,0,,4,0,,1,0,,2,0,,0.5,0,,2,0,,0.5,0,,2,0,,0.5,0,,1.5,0,,0.375,0,,1.5,0,,0.375,0,,1.5,0,,0.375,0,,0.6,0,,0.15,0,,0.6,0,,0.15,0,,0.6,0,,0.15,0,,0.6,0,,0.15,0,,0.6,0,,0.15,0,,0.6,0,,0.15,0,,0.3,4,,0.075,0,,0.3,5,,0.075,0,,0.3,2,,0.075,0,
